,file,sample,group,callable_genome_size,indels,indels_norm,insertions,insertions_norm,deletions,deletions_norm,complex,complex_norm,short_indels,short_indels_norm,long_indels,long_indels_norm,short_insertions,short_insertions_norm,short_deletions,short_deletions_norm,long_insertions,long_insertions_norm,long_deletions,long_deletions_norm,group_renamed
1,sample_colony-e12_HSC-9A-4RR_vs_MD6257z.flagged_filtered.vcf.gz,9A-4RR_e12,young,2333324831,23,26.9186912887227,5,5.85188941059188,18,21.0668018781308,0,0,21,24.5779355244859,2,2.34075576423675,4,4.68151152847351,17,19.8964239960124,1,1.17037788211838,1,1.17037788211838,young
2,sample_colony-e3_HSC-9A-4RR_vs_MD6257z.flagged_filtered.vcf.gz,9A-4RR_e3,young,2334306706,15,17.5482838243622,4,4.67954235316325,11,12.8687414711989,0,0,11,12.8687414711989,4,4.67954235316325,3,3.50965676487244,8,9.3590847063265,1,1.16988558829081,3,3.50965676487244,young
3,sample_colony-e8-neg_HSC-LRC_old1_vs_sample_tail_HSC-LRC_old1.flagged_filtered.vcf.gz,old1_e8_neg,nonLRC,2337289909,18,21.0310632595128,8,9.34713922645015,9,10.5155316297564,1,1.16839240330627,16,18.6942784529003,2,2.33678480661254,8,9.34713922645015,8,9.34713922645015,0,0,1,1.16839240330627,active
4,sample_colony-f9_HSC-4A-3RL_vs_MD6267z.flagged_filtered.vcf.gz,4A-3RL_f9,old,2336094478,28,32.7317282721645,9,10.52091265891,18,21.04182531782,1,1.16899029543445,20,23.3798059086889,8,9.35192236347558,8,9.35192236347558,12,14.0278835452134,1,1.16899029543445,6,7.01394177260668,old
5,sample_colony-c5-pos_HSC-LRC_old1_vs_sample_tail_HSC-LRC_old1.flagged_filtered.vcf.gz,old1_c5_pos,LRC,2337073960,16,18.6960058311548,5,5.84250182223587,11,12.8535040089189,0,0,14,16.3590051022604,2,2.33700072889435,5,5.84250182223587,9,10.5165032800246,0,0,2,2.33700072889435,dormant
6,sample_colony-neg-g11_HSC-LRC_old2_vs_sample_tail_HSC-LRC_old2.flagged_filtered.vcf.gz,old2_g11_neg,nonLRC,2337547881,19,22.1970057288422,8,9.34610767530199,11,12.8508980535402,0,0,17,19.8604788100167,2,2.3365269188255,8,9.34610767530199,9,10.5143711347147,0,0,2,2.3365269188255,active
7,sample_colony-a5-neg_HSC-LRC_old3_vs_sample_tail_HSC-LRC_old3.flagged_filtered.vcf.gz,old3_a5_neg,nonLRC,2336294524,22,25.7155844054874,8,9.35112160199542,14,16.364462803492,0,0,18,21.0400236044897,4,4.67556080099771,8,9.35112160199542,10,11.6889020024943,0,0,4,4.67556080099771,active
8,sample_colony-f2-pos_HSC-LRC_old3_vs_sample_tail_HSC-LRC_old3.flagged_filtered.vcf.gz,old3_f2_pos,LRC,2335439581,14,16.3704534028791,5,5.84659050102825,9,10.5238629018509,0,0,12,14.0318172024678,2,2.3386362004113,5,5.84659050102825,7,8.18522670143955,0,0,2,2.3386362004113,dormant
9,sample_colony-a6-pos_HSC-LRC_old2_vs_sample_tail_HSC-LRC_old2.flagged_filtered.vcf.gz,old2_a6_pos,LRC,2336796869,13,15.1923059864387,6,7.0118335322025,7,8.18047245423625,0,0,13,15.1923059864387,0,0,6,7.0118335322025,7,8.18047245423625,0,0,0,0,dormant
10,sample_colony-d4_HSC-4A-3RL_vs_MD6267z.flagged_filtered.vcf.gz,4A-3RL_d4,old,2335531763,22,25.7239828546918,12,14.0312633752864,10,11.6927194794053,0,0,20,23.3854389588107,2,2.33854389588107,12,14.0312633752864,8,9.35417558352427,0,0,2,2.33854389588107,old
